source,target
Sparse Binary Matrices of LDPC Codes for Compressed Sensing,CS image reconstruction by novel small length LDPC codeSparse Binary Matrices of LDPC Codes for Compressed Sensing
Coherent continuous-phase frequency-shift keying: Parameter optimization and code design,Iterative Multisymbol Noncoherent Reception of Coded CPFSKCoherent continuous-phase frequency-shift keying: Parameter optimization and code design
Peer-reviewed Technical Communication Multicarrier Communication over Underwater Acoustic Channels with Nonuniform Doppler Shifts,Experimental Evaluation of Zp-ofdm Scheme in Time Varying Underwater Multipath ChannelPeer-reviewed Technical Communication Multicarrier Communication over Underwater Acoustic Channels with Nonuniform Doppler Shifts
Quasi-Cyclic LDPC Codes: Influence of Proto- and Tanner-Graph Structure on Minimum Hamming Distance Upper Bounds,Rate-Compatible Protograph-based LDPC Codes for Inter-Symbol Interference ChannelsQuasi-Cyclic LDPC Codes: Influence of Proto- and Tanner-Graph Structure on Minimum Hamming Distance Upper Bounds
Channel polarization: A method for constructing capacity-achieving codes for symmetric binary-input memoryless channels,Error correcting codes and spatial couplingChannel polarization: A method for constructing capacity-achieving codes for symmetric binary-input memoryless channels
Channel polarization: A method for constructing capacity-achieving codes for symmetric binary-input memoryless channels,Erasure schemes using generalized polar codes: Zero-undetected-error capacity and performance trade-offsChannel polarization: A method for constructing capacity-achieving codes for symmetric binary-input memoryless channels
Channel polarization: A method for constructing capacity-achieving codes for symmetric binary-input memoryless channels,Polarization for arbitrary discrete memoryless channelsChannel polarization: A method for constructing capacity-achieving codes for symmetric binary-input memoryless channels
Channel polarization: A method for constructing capacity-achieving codes for symmetric binary-input memoryless channels,Capacity-Achieving Rate-Compatible Polar CodesChannel polarization: A method for constructing capacity-achieving codes for symmetric binary-input memoryless channels
Channel polarization: A method for constructing capacity-achieving codes for symmetric binary-input memoryless channels,Coded Modulation for Fiber-Optic NetworksChannel polarization: A method for constructing capacity-achieving codes for symmetric binary-input memoryless channels
Channel polarization: A method for constructing capacity-achieving codes for symmetric binary-input memoryless channels,A Parallel Decoding Algorithm for Short Polar Codes Based on Error Checking and CorrectingChannel polarization: A method for constructing capacity-achieving codes for symmetric binary-input memoryless channels
Channel polarization: A method for constructing capacity-achieving codes for symmetric binary-input memoryless channels,Capacity-Achieving Rateless Polar CodesChannel polarization: A method for constructing capacity-achieving codes for symmetric binary-input memoryless channels
Channel polarization: A method for constructing capacity-achieving codes for symmetric binary-input memoryless channels,Exponents of polar codes using algebraic geometric code kernelsChannel polarization: A method for constructing capacity-achieving codes for symmetric binary-input memoryless channels
Channel polarization: A method for constructing capacity-achieving codes for symmetric binary-input memoryless channels,Polar Coding for the General Wiretap Channel With Extensions to Multiuser ScenariosChannel polarization: A method for constructing capacity-achieving codes for symmetric binary-input memoryless channels
Channel polarization: A method for constructing capacity-achieving codes for symmetric binary-input memoryless channels,Successive cancellation decoding of polar codes using stochastic computingChannel polarization: A method for constructing capacity-achieving codes for symmetric binary-input memoryless channels
Channel polarization: A method for constructing capacity-achieving codes for symmetric binary-input memoryless channels,Expansion coding: Achieving the capacity of an AEN channelChannel polarization: A method for constructing capacity-achieving codes for symmetric binary-input memoryless channels
Channel polarization: A method for constructing capacity-achieving codes for symmetric binary-input memoryless channels,Polar Codes: Characterization of Exponent  Bounds  and ConstructionsChannel polarization: A method for constructing capacity-achieving codes for symmetric binary-input memoryless channels
A more accurate one-dimensional analysis and design of irregular LDPC codes,Coherent continuous-phase frequency-shift keying: Parameter optimization and code designA more accurate one-dimensional analysis and design of irregular LDPC codes
A more accurate one-dimensional analysis and design of irregular LDPC codes,Fountain Coding with Decoder Side InformationA more accurate one-dimensional analysis and design of irregular LDPC codes
A more accurate one-dimensional analysis and design of irregular LDPC codes,Resource Allocation via Linear Programming for Fractional CooperationA more accurate one-dimensional analysis and design of irregular LDPC codes
Polar Codes: Characterization of Exponent  Bounds  and Constructions,Exponents of polar codes using algebraic geometric code kernelsPolar Codes: Characterization of Exponent  Bounds  and Constructions
Polar Codes: Characterization of Exponent  Bounds  and Constructions,A Parallel Decoding Algorithm for Short Polar Codes Based on Error Checking and CorrectingPolar Codes: Characterization of Exponent  Bounds  and Constructions
Polar Codes: Characterization of Exponent  Bounds  and Constructions,Polar Codes with Mixed KernelsPolar Codes: Characterization of Exponent  Bounds  and Constructions
Polar Codes: Characterization of Exponent  Bounds  and Constructions,Performance of Binary Polar Codes with High- Dimensional Kernel 1Polar Codes: Characterization of Exponent  Bounds  and Constructions
A General Method for Finding Low Error Rates of LDPC Codes,Error Floors of LDPC Coded BICMA General Method for Finding Low Error Rates of LDPC Codes
A General Method for Finding Low Error Rates of LDPC Codes,Finding the Exhaustive List of Small Fully Absorbing Sets and Designing the Corresponding Low Error-Floor DecoderA General Method for Finding Low Error Rates of LDPC Codes
A General Method for Finding Low Error Rates of LDPC Codes,Design of LDPC decoders for improved low error rate performance: quantization and algorithm choicesA General Method for Finding Low Error Rates of LDPC Codes
A General Method for Finding Low Error Rates of LDPC Codes,Fast Simulation for the Performance Evaluation of Ldpc Codes Using Fast Flat Histogram MethodA General Method for Finding Low Error Rates of LDPC Codes
Performance analysis and code optimization of low density parity-check codes on Rayleigh fading channels,Near-Shannon-Limit Linear-Time-Encodable Nonbinary Irregular LDPC CodesPerformance analysis and code optimization of low density parity-check codes on Rayleigh fading channels
Capacity-Achieving Rateless Polar Codes,Capacity-Achieving Rate-Compatible Polar CodesCapacity-Achieving Rateless Polar Codes
Low-density parity check codes over GF(q),Design of LDPC decoders for improved low error rate performance: quantization and algorithm choicesLow-density parity check codes over GF(q)
Low-density parity check codes over GF(q),Distributed Source Coding Techniques for Lossless Compression of Hyperspectral ImagesLow-density parity check codes over GF(q)
Low-density parity check codes over GF(q),Performing scalable lossy compression on pixel encrypted imagesLow-density parity check codes over GF(q)
Low-density parity check codes over GF(q),Low-Density Parity-Check Code with Fast Decoding SpeedLow-density parity check codes over GF(q)
Low-density parity check codes over GF(q),Convergence of Weighted Min-Sum Decoding Via Dynamic Programming on TreesLow-density parity check codes over GF(q)
Low-density parity check codes over GF(q),A more accurate one-dimensional analysis and design of irregular LDPC codesLow-density parity check codes over GF(q)
Low-density parity check codes over GF(q),Opportunistic Error Correction for MIMO-OFDM: From Theory to PracticeLow-density parity check codes over GF(q)
Low-density parity check codes over GF(q),Hybrid Decoding of Finite Geometry LDPC CodesLow-density parity check codes over GF(q)
Low-density parity check codes over GF(q),On the Enhancement of Ldpc Codes Used in WimaxLow-density parity check codes over GF(q)
Low-density parity check codes over GF(q),Joint Decoding of LDPC Code and Phase Factors for OFDM Systems With PTS PAPR ReductionLow-density parity check codes over GF(q)
Low-density parity check codes over GF(q),Multi-user Detection Schemes for TH PPM UWB System using LDPC CodesLow-density parity check codes over GF(q)
Low-density parity check codes over GF(q),Spinal codesLow-density parity check codes over GF(q)
Low-density parity check codes over GF(q),Matrix Merging Scheme and Efficient Decoding Techniques for Reconfigurable QC-LDPC DecodersLow-density parity check codes over GF(q)
Low-density parity check codes over GF(q),Finding the Exhaustive List of Small Fully Absorbing Sets and Designing the Corresponding Low Error-Floor DecoderLow-density parity check codes over GF(q)
Low-density parity check codes over GF(q),Quantum Belief Propagation Algorithm versus Suzuki-Trotter approach in the one-dimensional Heisenberg chainsLow-density parity check codes over GF(q)
Low-density parity check codes over GF(q),Model-code Separation Architectures for Compression Based on Message-passing Model-code Separation Architectures for Compression Based on Message-passing Model-code Separation Architectures for Compression Based on Message-passing ContentsLow-density parity check codes over GF(q)
Low-density parity check codes over GF(q),Low-Complexity LDPC Codes with Near-Optimum Performance over the BECLow-density parity check codes over GF(q)
Low-density parity check codes over GF(q),Generalized and doubly generalized LDPC codes with random component codes for the binary erasure channelLow-density parity check codes over GF(q)
Low-density parity check codes over GF(q),Enhancing Binary Images of Non-Binary LDPC CodesLow-density parity check codes over GF(q)
Low-density parity check codes over GF(q),Multi-non-binary turbo codesLow-density parity check codes over GF(q)
Low-density parity check codes over GF(q),On the design of low-density parity-check codes within 0.0045 dB of the Shannon limitLow-density parity check codes over GF(q)
Low-density parity check codes over GF(q),Gallager error-correcting codes for binary asymmetric channelsLow-density parity check codes over GF(q)
Low-density parity check codes over GF(q),Performance Comparison of Ldpc Codes Using Srk Equalisation and Ofdm Techniques for Broadband Fixed Wireless Access SystemsLow-density parity check codes over GF(q)
Low-density parity check codes over GF(q),Designing Very Good Low-density Parity-check Codes for the Gilbert-elliott ChannelLow-density parity check codes over GF(q)
Low-density parity check codes over GF(q),Finite-length Scaling Laws for Iterative Coding Systems Finite-length Scaling Laws for Iterative Coding SystemsLow-density parity check codes over GF(q)
Low-density parity check codes over GF(q),Compressive Coded Modulation for Seamless Rate AdaptationLow-density parity check codes over GF(q)
Low-density parity check codes over GF(q),A Low Latency  Low-power Ldpc Decoder DesignLow-density parity check codes over GF(q)
Low-density parity check codes over GF(q),A New Channel Coding Technique to Approach the Channel CapacityLow-density parity check codes over GF(q)
Low-density parity check codes over GF(q),Matrix Algebra and Error-correcting CodesLow-density parity check codes over GF(q)
Low-density parity check codes over GF(q),Channels with both random errors and burst erasures: Capacities  LDPC code thresholds  and code performancesLow-density parity check codes over GF(q)
Low-density parity check codes over GF(q),Quasi Cyclic LDPC Codes Based on Finite Set SystemsLow-density parity check codes over GF(q)
Low-density parity check codes over GF(q),A Coding Theoretic Approach for Evaluating Accumulate Distribution on Minimum Cut Capacity of Weighted Random GraphsLow-density parity check codes over GF(q)
Low-density parity check codes over GF(q),A General Method for Finding Low Error Rates of LDPC CodesLow-density parity check codes over GF(q)
Low-density parity check codes over GF(q),Adaptive MAP Detection via the EM Algorithm for LDPC-Coded MIMO-OFDM Mobile CommunicationsLow-density parity check codes over GF(q)
Low-density parity check codes over GF(q),On the Capacity of Data-dependent Autoregressive Noise Channels *Low-density parity check codes over GF(q)
Low-density parity check codes over GF(q),20 Years of Turbo Coding and Energy-Aware Design Guidelines for Energy-Constrained Wireless ApplicationsLow-density parity check codes over GF(q)
Low-density parity check codes over GF(q),Low-Complexity Soft Decoding of Huffman Codes and Iterative Joint Source Channel DecodingLow-density parity check codes over GF(q)
Low-density parity check codes over GF(q),Channel Code-Division Multiple Access and Its Multilevel-Structured LDPC-Based InstantiationLow-density parity check codes over GF(q)
Low-density parity check codes over GF(q),Physics and complexityLow-density parity check codes over GF(q)
Low-density parity check codes over GF(q),On Coset Leader Graphs of LDPC codesLow-density parity check codes over GF(q)
Low-density parity check codes over GF(q),Error Floors of LDPC Coded BICMLow-density parity check codes over GF(q)
Low-density parity check codes over GF(q),Exploiting the Error-correcting Capabilities of Low Density Parity Check Codes in Distributed Video Coding Using Optical FlowLow-density parity check codes over GF(q)
Low-density parity check codes over GF(q),Forced Convergence Decoding of LDPC Codes – EXIT Chart Analysis and Combination with Node Complexity Reduction TechniquesLow-density parity check codes over GF(q)
Low-density parity check codes over GF(q),Design and Synthesis of Binary Ldpc DecoderLow-density parity check codes over GF(q)
Low-density parity check codes over GF(q),Dynamic Power Management for the Iterative Decoding of Turbo CodesLow-density parity check codes over GF(q)
Low-density parity check codes over GF(q),Upper bound on error exponent of regular LDPC codes transmitted over the BECLow-density parity check codes over GF(q)
Low-density parity check codes over GF(q),Hybrid hard-decision iterative decoding of regular low-density parity-check codesLow-density parity check codes over GF(q)
Low-density parity check codes over GF(q),Comparaison De Performance Et De Complexité D'algorithmes De Décodage Pondéré De Code CortexLow-density parity check codes over GF(q)
Low-density parity check codes over GF(q),Variable-rate Coding with Feedback for Universal Communication Systems *Low-density parity check codes over GF(q)
Low-density parity check codes over GF(q),Tree Expectation Propagation for ML Decoding of LDPC Codes over the BECLow-density parity check codes over GF(q)
Low-density parity check codes over GF(q),A Novel Approach to Built an Area Efficient Architecture for Block Ldpc CodesLow-density parity check codes over GF(q)
Low-density parity check codes over GF(q),An improved low-complexity sum-product decoding algorithm for low-density parity-check codesLow-density parity check codes over GF(q)
Low-density parity check codes over GF(q),Quasi-Cyclic LDPC Codes: Influence of Proto- and Tanner-Graph Structure on Minimum Hamming Distance Upper BoundsLow-density parity check codes over GF(q)
Low-density parity check codes over GF(q),Development and Verification of Iterative Decoder for LDPC-RS Product CodesLow-density parity check codes over GF(q)
Low-density parity check codes over GF(q),Analysis and Design of Binary Message Passing DecodersLow-density parity check codes over GF(q)
Low-density parity check codes over GF(q),On the Impact of Information Theory on Today's Communication TechnologyLow-density parity check codes over GF(q)
Low-density parity check codes over GF(q),Construction of Irregular QC-LDPC Codes in Near-Earth CommunicationsLow-density parity check codes over GF(q)
Low-density parity check codes over GF(q),Performance analysis and code optimization of low density parity-check codes on Rayleigh fading channelsLow-density parity check codes over GF(q)
Low-density parity check codes over GF(q),Iterative decoding beyond belief propagationLow-density parity check codes over GF(q)
Low-density parity check codes over GF(q),A Parallel Decoding Algorithm for Short Polar Codes Based on Error Checking and CorrectingLow-density parity check codes over GF(q)
Low-density parity check codes over GF(q),Sparse Binary Matrices of LDPC Codes for Compressed SensingLow-density parity check codes over GF(q)
Low-density parity check codes over GF(q),CS image reconstruction by novel small length LDPC codeLow-density parity check codes over GF(q)
Low-density parity check codes over GF(q),A two stage selective averaging LDPC decodingLow-density parity check codes over GF(q)
Low-density parity check codes over GF(q),On the Parity-Check Density and Achievable Rates of LDPC CodesLow-density parity check codes over GF(q)
Low-density parity check codes over GF(q),Code Optimization for Lossless Turbo Source CodingLow-density parity check codes over GF(q)
Low-density parity check codes over GF(q),A permutation decomposition based algorithm for the design of prunable interleavers for parallel turbo decoder architecturesLow-density parity check codes over GF(q)
Low-density parity check codes over GF(q),Performance Evaluation of Adaptive Ldpc Coded Modulation Cooperative Wireless Communication System with Best-relay SelectionLow-density parity check codes over GF(q)
Low-density parity check codes over GF(q),A study of unsupervised adaptive crowdsourcingLow-density parity check codes over GF(q)
Low-density parity check codes over GF(q),Probabilistic Inference in Graphical ModelsLow-density parity check codes over GF(q)
Low-density parity check codes over GF(q),Generalized Union Bound for Space-Time CodesLow-density parity check codes over GF(q)
Low-density parity check codes over GF(q),Combined Analog and Digital Error-Correcting Codes For Analog Information SourcesLow-density parity check codes over GF(q)
Low-density parity check codes over GF(q),Partial Network Coding: Theory and Application for Continuous Sensor Data CollectionLow-density parity check codes over GF(q)
Low-density parity check codes over GF(q),Syndrome Source Coding for Lossless Data Compression Based on Linear Block CodesLow-density parity check codes over GF(q)
